Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
0.05,7.38871e-05,0,0,0.00443323,0,0,0.00443323
0.1,0.000591097,0,0,0.0177329,0,0,0.0177329
0.15,0.00199495,0,0,0.0398991,0,0,0.0398991
0.2,0.00468974,0,0,0.0672811,0,0,0.0672811
0.25,0.00858209,0,0,0.0869353,0,0,0.0869353
0.3,0.0132355,0,0,0.0977229,0,0,0.0977229
0.35,0.0182083,0,0,0.1,0,0,0.1
0.4,0.0232083,0,0,0.1,0,0,0.1
0.45,0.0282083,0,0,0.1,0,0,0.1
0.5,0.0332083,0,0,0.1,0,0,0.1
0.55,0.0382083,0,0,0.1,0,0,0.1
0.6,0.0432083,0,0,0.1,0,0,0.1
0.65,0.0482083,0,0,0.1,0,0,0.1
0.7,0.0532083,0,0,0.1,0,0,0.1
0.75,0.0582083,0,0,0.1,0,0,0.1
0.8,0.0632083,0,0,0.1,0,0,0.1
0.85,0.0682083,0,0,0.1,0,0,0.1
0.9,0.0732083,0,0,0.1,0,0,0.1
0.95,0.0782083,0,0,0.1,0,0,0.1
1,0.0832083,0,0,0.1,0,0,0.1
1.05,0.0882083,0,0,0.1,0,0,0.1
1.1,0.0932083,0,0,0.1,0,0,0.1
1.15,0.0982083,0,0,0.1,0,0,0.1
1.2,0.103208,0,0,0.1,0,0,0.1
1.25,0.108208,0,0,0.1,0,0,0.1
1.3,0.113208,0,0,0.1,0,0,0.1
1.35,0.118208,0,0,0.1,0,0,0.1
1.4,0.123208,0,0,0.1,0,0,0.1
1.45,0.128208,0,0,0.1,0,0,0.1
1.5,0.133208,0,0,0.1,0,0,0.1
1.55,0.138208,0,0,0.1,0,0,0.1
1.6,0.143208,0,0,0.1,0,0,0.1
1.65,0.148208,0,0,0.1,0,0,0.1
1.7,0.153208,0,0,0.1,0,0,0.1
1.75,0.158208,0,0,0.1,0,0,0.1
1.8,0.163208,0,0,0.1,0,0,0.1
1.85,0.168208,0,0,0.1,0,0,0.1
1.9,0.173208,0,0,0.1,0,0,0.1
1.95,0.178208,0,0,0.1,0,0,0.1
2,0.183208,0,0,0.1,0,0,0.1
2.05,0.188208,0,0,0.1,0,0,0.1
2.1,0.193208,0,0,0.1,0,0,0.1
2.15,0.198208,0,0,0.1,0,0,0.1
2.2,0.203208,0,0,0.1,0,0,0.1
2.25,0.208208,0,0,0.1,0,0,0.1
2.3,0.213208,0,0,0.1,0,0,0.1
2.35,0.218208,0,0,0.1,0,0,0.1
2.4,0.223208,0,0,0.1,0,0,0.1
2.45,0.228208,0,0,0.1,0,0,0.1
2.5,0.233208,0,0,0.1,0,0,0.1
2.55,0.238208,0,0,0.1,0,0,0.1
2.6,0.243208,0,0,0.1,0,0,0.1
2.65,0.248208,0,0,0.1,0,0,0.1
2.7,0.253208,0,0,0.1,0,0,0.1
2.75,0.258208,0,0,0.1,0,0,0.1
2.8,0.263208,0,0,0.1,0,0,0.1
2.85,0.268208,0,0,0.1,0,0,0.1
2.9,0.273208,0,0,0.1,0,0,0.1
2.95,0.278208,0,0,0.1,0,0,0.1
3,0.283208,0,0,0.1,0,0,0.1
3.05,0.288208,0,0,0.1,0,0,0.1
3.1,0.293208,0,0,0.1,0,0,0.1
3.15,0.298208,0,0,0.1,0,0,0.1
3.2,0.303208,0,0,0.1,0,0,0.1
3.25,0.308208,0,0,0.1,0,0,0.1
3.3,0.313208,0,0,0.1,0,0,0.1
3.35,0.318208,0,0,0.1,0,0,0.1
3.4,0.323208,0,0,0.1,0,0,0.1
3.45,0.328208,0,0,0.1,0,0,0.1
3.5,0.333208,0,0,0.1,0,0,0.1
3.55,0.338208,0,0,0.1,0,0,0.1
3.6,0.343208,0,0,0.1,0,0,0.1
3.65,0.348208,0,0,0.1,0,0,0.1
